22:47:39	judge-recheck-caddy-1	18.85MiB / 256MiB	0.00%
22:47:39	judge-recheck-worker-1	838.5MiB / 1.5GiB	0.25%
22:47:39	judge-recheck-api-1	956.5MiB / 2.5GiB	0.24%
22:47:39	judge-recheck-db-1	95.2MiB / 2GiB	4.17%
22:47:41	judge-recheck-caddy-1	18.92MiB / 256MiB	1.20%
22:47:41	judge-recheck-worker-1	876.7MiB / 1.5GiB	32.45%
22:47:41	judge-recheck-api-1	1.224GiB / 2.5GiB	97.11%
22:47:41	judge-recheck-db-1	105.1MiB / 2GiB	8.55%
22:47:43	judge-recheck-caddy-1	18.94MiB / 256MiB	1.10%
22:47:43	judge-recheck-worker-1	876.5MiB / 1.5GiB	0.04%
22:47:43	judge-recheck-api-1	1.224GiB / 2.5GiB	99.36%
22:47:43	judge-recheck-db-1	105.1MiB / 2GiB	11.81%
22:47:45	judge-recheck-caddy-1	18.91MiB / 256MiB	0.32%
22:47:45	judge-recheck-worker-1	876.3MiB / 1.5GiB	7.46%
22:47:45	judge-recheck-api-1	1.224GiB / 2.5GiB	16.02%
22:47:45	judge-recheck-db-1	105.3MiB / 2GiB	1.14%
22:47:47	judge-recheck-caddy-1	18.62MiB / 256MiB	0.00%
22:47:47	judge-recheck-worker-1	876.2MiB / 1.5GiB	0.22%
22:47:47	judge-recheck-api-1	1.224GiB / 2.5GiB	0.30%
22:47:47	judge-recheck-db-1	104.9MiB / 2GiB	0.14%
22:47:49	judge-recheck-caddy-1	18.62MiB / 256MiB	0.00%
22:47:49	judge-recheck-worker-1	876.6MiB / 1.5GiB	2.05%
22:47:49	judge-recheck-api-1	1.225GiB / 2.5GiB	2.91%
22:47:49	judge-recheck-db-1	105.1MiB / 2GiB	0.10%
